month,model,n,mae,rmse,bias,corr
2025-02,climatology,1318,0.3236,0.3632,0.0114,-0.0
2025-02,persistence_D,1304,0.3855,0.503,-0.0135,0.0165
2025-02,curve[wind_speed_100m__ecmwf_ifs],1318,0.1853,0.2709,-0.1056,0.7265
2025-02,curve[ens_ws100_mean],1318,0.1809,0.2562,0.0232,0.7277
2025-02,curve[ens_ws100_mean]+linear_cal,1318,0.1842,0.2504,0.0105,0.7279
2025-02,direct_iso[wind_speed_100m__ecmwf_ifs],1318,0.1938,0.2456,0.0094,0.7401
2025-02,direct_iso[ens_ws100_mean],1318,0.2,0.2518,0.0404,0.729
2025-02,direct_iso[ens_ws100_mid],1318,0.1979,0.2518,0.0405,0.729
2025-03,climatology,1462,0.3566,0.3921,-0.0371,0.0301
2025-03,persistence_D,1442,0.4523,0.5605,0.0116,-0.048
2025-03,curve[wind_speed_100m__ecmwf_ifs],1462,0.2249,0.3171,-0.1545,0.7043
2025-03,curve[ens_ws100_mean],1462,0.1766,0.2576,-0.0425,0.7629
2025-03,curve[ens_ws100_mean]+linear_cal,1462,0.1837,0.2579,-0.0593,0.7623
2025-03,direct_iso[wind_speed_100m__ecmwf_ifs],1462,0.2119,0.2735,-0.0515,0.7186
2025-03,direct_iso[ens_ws100_mean],1462,0.1931,0.253,-0.0394,0.763
2025-03,direct_iso[ens_ws100_mid],1462,0.1912,0.2501,-0.0376,0.7687
2025-04,climatology,1400,0.3218,0.3635,-0.0051,-0.0432
2025-04,persistence_D,1342,0.3822,0.4841,-0.0263,0.0598
2025-04,curve[wind_speed_100m__ecmwf_ifs],1400,0.1908,0.2672,-0.0847,0.7145
2025-04,curve[ens_ws100_mean],1400,0.1707,0.2375,-0.0263,0.7636
2025-04,curve[ens_ws100_mean]+linear_cal,1400,0.1742,0.2361,-0.031,0.7615
2025-04,direct_iso[wind_speed_100m__ecmwf_ifs],1400,0.203,0.2561,0.0325,0.7084
2025-04,direct_iso[ens_ws100_mean],1400,0.1833,0.2339,-0.0023,0.7606
2025-04,direct_iso[ens_ws100_mid],1400,0.1788,0.228,0.0002,0.7746
2025-05,climatology,1416,0.3398,0.3712,0.0582,0.0576
2025-05,persistence_D,1347,0.4192,0.5315,0.0229,-0.0415
2025-05,curve[wind_speed_100m__ecmwf_ifs],1416,0.184,0.2683,-0.0669,0.7122
2025-05,curve[ens_ws100_mean],1416,0.1751,0.2613,-0.0192,0.7248
2025-05,curve[ens_ws100_mean]+linear_cal,1416,0.1782,0.2565,-0.0264,0.7246
2025-05,direct_iso[wind_speed_100m__ecmwf_ifs],1416,0.198,0.2578,0.0409,0.7177
2025-05,direct_iso[ens_ws100_mean],1416,0.1901,0.2525,0.0025,0.7228
2025-05,direct_iso[ens_ws100_mid],1416,0.1851,0.2487,0.0031,0.7326
2025-06,climatology,1412,0.2639,0.3448,-0.1031,0.0172
2025-06,persistence_D,1386,0.3591,0.4534,0.0167,-0.0366
2025-06,curve[wind_speed_100m__ecmwf_ifs],1412,0.2129,0.3034,-0.1174,0.5114
2025-06,curve[ens_ws100_mean],1412,0.1949,0.2763,-0.0943,0.5814
2025-06,curve[ens_ws100_mean]+linear_cal,1412,0.1932,0.2712,-0.0907,0.583
2025-06,direct_iso[wind_speed_100m__ecmwf_ifs],1412,0.2084,0.2732,0.0001,0.5181
2025-06,direct_iso[ens_ws100_mean],1412,0.1918,0.2579,-0.0493,0.5826
2025-06,direct_iso[ens_ws100_mid],1412,0.19,0.2567,-0.0511,0.5893
2025-07,climatology,1456,0.2308,0.2865,-0.0158,0.1395
2025-07,persistence_D,1425,0.2874,0.396,0.0071,0.0625
2025-07,curve[wind_speed_100m__ecmwf_ifs],1456,0.165,0.2475,-0.0551,0.5877
2025-07,curve[ens_ws100_mean],1456,0.1474,0.2176,-0.018,0.6737
2025-07,curve[ens_ws100_mean]+linear_cal,1456,0.1512,0.2153,-0.0109,0.6711
2025-07,direct_iso[wind_speed_100m__ecmwf_ifs],1456,0.1898,0.2451,0.0631,0.5926
2025-07,direct_iso[ens_ws100_mean],1456,0.1676,0.2163,0.0317,0.6712
2025-07,direct_iso[ens_ws100_mid],1456,0.1648,0.2141,0.0298,0.6785
2025-08,climatology,1474,0.2514,0.3145,-0.0623,-0.0996
2025-08,persistence_D,1460,0.2984,0.3995,-0.0186,0.0502
2025-08,curve[wind_speed_100m__ecmwf_ifs],1474,0.1874,0.2656,-0.0695,0.5465
2025-08,curve[ens_ws100_mean],1474,0.1724,0.2442,-0.0373,0.6225
2025-08,curve[ens_ws100_mean]+linear_cal,1474,0.1711,0.2378,-0.0342,0.6274
2025-08,direct_iso[wind_speed_100m__ecmwf_ifs],1474,0.1997,0.2553,0.0406,0.5514
2025-08,direct_iso[ens_ws100_mean],1474,0.1798,0.2323,0.0065,0.6265
2025-08,direct_iso[ens_ws100_mid],1474,0.1785,0.2312,0.0057,0.6306
2025-09,climatology,1436,0.3066,0.3417,0.0446,0.0597
2025-09,persistence_D,1432,0.3759,0.4841,0.0127,0.0027
2025-09,curve[wind_speed_100m__ecmwf_ifs],1436,0.1721,0.2522,-0.0939,0.726
2025-09,curve[ens_ws100_mean],1436,0.1491,0.2202,-0.032,0.7751
2025-09,curve[ens_ws100_mean]+linear_cal,1436,0.1518,0.2176,-0.0353,0.7755
2025-09,direct_iso[wind_speed_100m__ecmwf_ifs],1436,0.1795,0.2329,0.012,0.7281
2025-09,direct_iso[ens_ws100_mean],1436,0.1644,0.2152,0.0004,0.7742
2025-09,direct_iso[ens_ws100_mid],1436,0.1641,0.2156,-0.0005,0.7728
2025-10,climatology,1382,0.3229,0.3589,0.1247,0.1124
2025-10,persistence_D,1292,0.3303,0.4563,-0.0224,0.0586
2025-10,curve[wind_speed_100m__ecmwf_ifs],1382,0.165,0.2519,-0.1054,0.7298
2025-10,curve[ens_ws100_mean],1382,0.1555,0.2371,-0.0397,0.7205
2025-10,curve[ens_ws100_mean]+linear_cal,1382,0.1595,0.2353,-0.0396,0.7205
2025-10,direct_iso[wind_speed_100m__ecmwf_ifs],1382,0.1753,0.2279,0.0036,0.7368
2025-10,direct_iso[ens_ws100_mean],1382,0.1727,0.232,0.0003,0.7215
2025-10,direct_iso[ens_ws100_mid],1382,0.1705,0.2295,-0.0017,0.7284
2025-11,climatology,1440,0.3472,0.3802,0.0497,0.0354
