time_local,p10,p50,p90
2026-09-24 00:00:00,0.0,0.155,0.433
2026-09-24 01:00:00,0.0,0.07,0.341
2026-09-24 02:00:00,0.0,0.014,0.139
2026-09-24 03:00:00,0.0,0.013,0.112
2026-09-24 04:00:00,0.0,0.009,0.078
2026-09-24 05:00:00,0.0,0.01,0.05
2026-09-24 06:00:00,0.0,0.013,0.056
2026-09-24 07:00:00,0.0,0.027,0.139
2026-09-24 08:00:00,0.0,0.051,0.118
2026-09-24 09:00:00,0.0,0.07,0.236
2026-09-24 10:00:00,0.003,0.141,0.375
2026-09-24 11:00:00,0.0,0.077,0.334
2026-09-24 12:00:00,0.0,0.037,0.199
2026-09-24 13:00:00,0.0,0.031,0.18
2026-09-24 14:00:00,0.0,0.048,0.238
2026-09-24 15:00:00,0.0,0.058,0.328
2026-09-24 16:00:00,0.004,0.143,0.429
2026-09-24 17:00:00,0.05,0.232,0.472
2026-09-24 18:00:00,0.052,0.414,0.593
2026-09-24 19:00:00,0.027,0.346,0.56
2026-09-24 20:00:00,0.007,0.27,0.548
2026-09-24 21:00:00,0.004,0.253,0.561
2026-09-24 22:00:00,0.0,0.225,0.54
2026-09-24 23:00:00,0.0,0.212,0.504
2026-09-25 00:00:00,0.0,0.152,0.464
2026-09-25 01:00:00,0.0,0.21,0.542
2026-09-25 02:00:00,0.0,0.269,0.633
2026-09-25 03:00:00,0.027,0.336,0.682
2026-09-25 04:00:00,0.045,0.458,0.771
2026-09-25 05:00:00,0.127,0.547,0.835
2026-09-25 06:00:00,0.162,0.586,0.868
2026-09-25 07:00:00,0.125,0.499,0.834
2026-09-25 08:00:00,0.036,0.433,0.772
2026-09-25 09:00:00,0.0,0.305,0.639
2026-09-25 10:00:00,0.0,0.22,0.645
2026-09-25 11:00:00,0.0,0.145,0.46
2026-09-25 12:00:00,0.0,0.093,0.374
2026-09-25 13:00:00,0.0,0.08,0.365
2026-09-25 14:00:00,0.0,0.094,0.376
2026-09-25 15:00:00,0.0,0.105,0.392
2026-09-25 16:00:00,0.0,0.136,0.38
2026-09-25 17:00:00,0.009,0.258,0.576
2026-09-25 18:00:00,0.034,0.333,0.626
2026-09-25 19:00:00,0.013,0.316,0.61
2026-09-25 20:00:00,0.0,0.249,0.554
2026-09-25 21:00:00,0.0,0.179,0.542
2026-09-25 22:00:00,0.0,0.135,0.433
2026-09-25 23:00:00,0.0,0.121,0.38
